zip,city,state,latitude,longitude,timezone,dst
52761,Muscatine,IL,41.413372,-91.00612,-6,1
60001,Alden,IL,42.324761,-88.452481,-6,1
60002,Antioch,IL,42.46617,-88.09995,-6,1
60004,Arlington Heights,IL,42.108428,-87.97723,-6,1
60005,Arlington Heights,IL,42.069327,-87.98464,-6,1
60006,Arlington Heights,IL,41.811929,-87.68732,-6,1
60007,Elk Grove Village,IL,42.005978,-87.99847,-6,1
60008,Rolling Meadows,IL,42.07506,-88.02508,-6,1
60009,Elk Grove Village,IL,41.811929,-87.68732,-6,1
60010,Barrington,IL,42.160791,-88.15231,-6,1
60011,Barrington,IL,42.322814,-87.610053,-6,1
60012,Crystal Lake,IL,42.265643,-88.31664,-6,1
60013,Cary,IL,42.217523,-88.24338,-6,1
60014,Crystal Lake,IL,42.226623,-88.33066,-6,1
60015,Deerfield,IL,42.169325,-87.86556,-6,1
60016,Des Plaines,IL,42.047178,-87.89058,-6,1
60017,Des Plaines,IL,42.028779,-87.894366,-6,1
60018,Des Plaines,IL,42.008429,-87.89234,-6,1
60019,Des Plaines,IL,42.024278,-87.907066,-6,1
60020,Fox Lake,IL,42.409445,-88.17822,-6,1
60021,Fox River Grove,IL,42.194946,-88.21676,-6,1
60022,Glencoe,IL,42.130976,-87.76252,-6,1
60025,Glenview,IL,42.07672,-87.81922,-6,1
60026,Glenview Nas,IL,41.811929,-87.68732,-6,1
60029,Golf,IL,42.056529,-87.79286,-6,1
60030,Grayslake,IL,42.338955,-88.03433,-6,1
60031,Gurnee,IL,42.375821,-87.93517,-6,1
60033,Harvard,IL,42.424338,-88.61431,-6,1
60034,Hebron,IL,42.468318,-88.43125,-6,1
60035,Highland Park,IL,42.181875,-87.80956,-6,1
60037,Fort Sheridan,IL,42.21196,-87.80808,-6,1
60038,Palatine,IL,42.097976,-88.014072,-6,1
60039,Crystal Lake,IL,42.324761,-88.452481,-6,1
60040,Highwood,IL,42.205724,-87.81421,-6,1
60041,Ingleside,IL,42.372721,-88.15303,-6,1
60042,Island Lake,IL,42.277691,-88.20074,-6,1
60043,Kenilworth,IL,42.088128,-87.716,-6,1
60044,Lake Bluff,IL,42.286222,-87.86309,-6,1
60045,Lake Forest,IL,42.238087,-87.86093,-6,1
60046,Lake Villa,IL,42.410687,-88.05462,-6,1
60047,Lake Zurich,IL,42.199957,-88.05859,-6,1
60048,Libertyville,IL,42.290922,-87.95169,-6,1
60049,Long Grove,IL,42.198674,-88.041875,-6,1
60050,Mchenry,IL,42.348406,-88.24769,-6,1
60051,Mchenry,IL,42.324761,-88.452481,-6,1
60053,Morton Grove,IL,42.041999,-87.78882,-6,1
60054,McHenry,IL,42.35344,-88.260692,-6,1
60055,Palatine,IL,42.097976,-88.014072,-6,1
60056,Mount Prospect,IL,42.065427,-87.93621,-6,1
60060,Mundelein,IL,42.263623,-88.01172,-6,1
60061,Vernon Hills,IL,42.229856,-87.96779,-6,1
60062,Northbrook,IL,42.124576,-87.84303,-6,1
60064,North Chicago,IL,42.326072,-87.85202,-6,1
60065,Northbrook,IL,41.811929,-87.68732,-6,1
60067,Palatine,IL,42.10979,-88.04917,-6,1
60068,Park Ridge,IL,42.01183,-87.84158,-6,1
60069,Lincolnshire,IL,42.188074,-87.92717,-6,1
60070,Prospect Heights,IL,42.105576,-87.92816,-6,1
60071,Richmond,IL,42.464639,-88.3028,-6,1
60072,Ringwood,IL,42.405464,-88.30274,-6,1
60073,Round Lake,IL,42.366253,-88.09647,-6,1
60074,Palatine,IL,42.143819,-88.02546,-6,1
60075,Russell,IL,42.322814,-87.610053,-6,1
60076,Skokie,IL,42.03618,-87.7321,-6,1
60077,Skokie,IL,42.033313,-87.75764,-6,1
60078,Palatine,IL,41.811929,-87.68732,-6,1
60079,Waukegan,IL,42.322814,-87.610053,-6,1
60080,Solon Mills,IL,42.442519,-88.276047,-6,1
60081,Spring Grove,IL,42.441869,-88.22167,-6,1
60082,Techny,IL,42.116377,-87.812064,-6,1
60083,Wadsworth,IL,42.428187,-87.92935,-6,1
60084,Wauconda,IL,42.263181,-88.14328,-6,1
60085,Waukegan,IL,42.361271,-87.86187,-6,1
60086,North Chicago,IL,42.43335,-87.776595,-6,1
60087,Waukegan,IL,42.404272,-87.86525,-6,1
60088,Great Lakes,IL,42.312372,-87.85284,-6,1
60089,Buffalo Grove,IL,42.167638,-87.96393,-6,1
60090,Wheeling,IL,42.131526,-87.92958,-6,1
60091,Wilmette,IL,42.077178,-87.72373,-6,1
60092,Libertyville,IL,42.322814,-87.610053,-6,1
60093,Winnetka,IL,42.104127,-87.75016,-6,1
60094,Palatine,IL,41.811929,-87.68732,-6,1
60095,Palatine,IL,41.811929,-87.68732,-6,1
60096,Winthrop Harbor,IL,42.48067,-87.83018,-6,1
60097,Wonder Lake,IL,42.384504,-88.3495,-6,1
60098,Woodstock,IL,42.316121,-88.43884,-6,1
60099,Zion,IL,42.451371,-87.84862,-6,1
60101,Addison,IL,41.931573,-88.00222,-6,1
60102,Algonquin,IL,42.17315,-88.31849,-6,1
60103,Bartlett,IL,41.977477,-88.17257,-6,1
60104,Bellwood,IL,41.882924,-87.87642,-6,1
60105,Bensenville,IL,41.839679,-88.088716,-6,1
60106,Bensenville,IL,41.956479,-87.95117,-6,1
60107,Streamwood,IL,42.023977,-88.17657,-6,1
60108,Bloomingdale,IL,41.94954,-88.08256,-6,1
60109,Burlington,IL,42.052112,-88.54829,-6,1
60110,Carpentersville,IL,42.121188,-88.27227,-6,1
60111,Clare,IL,41.998231,-88.84223,-6,1
60112,Cortland,IL,41.921121,-88.6899,-6,1
60113,Creston,IL,41.93171,-88.96438,-6,1
60114,Addison,IL,41.839679,-88.088716,-6,1
60115,Dekalb,IL,41.924127,-88.74617,-6,1
60116,Carol Stream,IL,41.839679,-88.088716,-6,1
60117,Bloomingdale,IL,41.839679,-88.088716,-6,1
60118,Dundee,IL,42.101502,-88.28891,-6,1
60119,Elburn,IL,41.876506,-88.46429,-6,1
60120,Elgin,IL,42.037176,-88.25922,-6,1
60121,Elgin,IL,42.04133,-88.3126,-6,1
60122,Elgin,IL,42.067101,-88.304994,-6,1
60123,Elgin,IL,42.034776,-88.32393,-6,1
60125,Carol Stream,IL,41.839679,-88.088716,-6,1
60126,Elmhurst,IL,41.89103,-87.94181,-6,1
60127,Milton,IL,41.878878,-88.134469,-6,1
60128,Carol Stream,IL,41.839679,-88.088716,-6,1
60129,Esmond,IL,42.034502,-88.97084,-6,1
60130,Forest Park,IL,41.871331,-87.81235,-6,1
60131,Franklin Park,IL,41.93548,-87.87468,-6,1
60132,Carol Stream,IL,41.839679,-88.088716,-6,1
60133,Hanover Park,IL,41.980896,-88.144475,-6,1
60134,Geneva,IL,41.885728,-88.31957,-6,1
60135,Genoa,IL,42.10028,-88.6906,-6,1
60136,Gilberts,IL,42.099479,-88.36942,-6,1
60137,Glen Ellyn,IL,41.869779,-88.06285,-6,1
60138,Glen Ellyn,IL,41.839679,-88.088716,-6,1
60139,Glendale Heights,IL,41.920228,-88.07891,-6,1
60140,Hampshire,IL,42.086218,-88.5036,-6,1
60141,Hines,IL,41.858028,-87.83865,-6,1
60142,Huntley,IL,42.171973,-88.42891,-6,1
60143,Itasca,IL,41.972328,-88.02196,-6,1
60144,Kaneville,IL,41.936977,-88.420178,-6,1
60145,Kingston,IL,42.102014,-88.76647,-6,1
60146,Kirkland,IL,42.100571,-88.87665,-6,1
60147,Lafox,IL,41.936977,-88.420178,-6,1
60148,Lombard,IL,41.875429,-88.01723,-6,1
60149,Dement,IL,41.964197,-88.951205,-6,1
60150,Malta,IL,41.933061,-88.88293,-6,1
60151,Maple Park,IL,41.91842,-88.57626,-6,1
60152,Marengo,IL,42.242199,-88.61034,-6,1
60153,Maywood,IL,41.880281,-87.84455,-6,1
60154,Westchester,IL,41.851257,-87.88351,-6,1
60155,Broadview,IL,41.857931,-87.85477,-6,1
60156,Lake in the Hills,IL,42.185733,-88.348484,-6,1
60157,Medinah,IL,41.970628,-88.05606,-6,1
60159,Schaumburg,IL,41.811929,-87.68732,-6,1
60160,Melrose Park,IL,41.89988,-87.85978,-6,1
60161,Melrose Park,IL,41.811929,-87.68732,-6,1
60162,Hillside,IL,41.872997,-87.90101,-6,1
60163,Berkeley,IL,41.886794,-87.91052,-6,1
60164,Melrose Park,IL,41.91823,-87.89627,-6,1
60165,Stone Park,IL,41.90158,-87.88046,-6,1
60168,Schaumburg,IL,41.811929,-87.68732,-6,1
60170,Plato Center,IL,42.025776,-88.425931,-6,1
60171,River Grove,IL,41.92583,-87.84013,-6,1
60172,Roselle,IL,41.980761,-88.08704,-6,1
60173,Schaumburg,IL,42.051927,-88.04814,-6,1
60174,Saint Charles,IL,41.919808,-88.30498,-6,1
60175,Saint Charles,IL,41.944577,-88.38326,-6,1
60176,Schiller Park,IL,41.95683,-87.87193,-6,1
60177,South Elgin,IL,41.99215,-88.30609,-6,1
60178,Sycamore,IL,41.990505,-88.68704,-6,1
60179,Hoffman Estates,IL,42.079336,-88.223655,-6,1
60180,Union,IL,42.229437,-88.52606,-6,1
60181,Villa Park,IL,41.880429,-87.97813,-6,1
60182,Virgil,IL,41.908736,-88.59915,-6,1
60183,Wasco,IL,41.936977,-88.420178,-6,1
60184,Wayne,IL,41.953427,-88.25176,-6,1
60185,West Chicago,IL,41.891978,-88.20502,-6,1
60186,West Chicago,IL,41.839679,-88.088716,-6,1
60187,Wheaton,IL,41.858279,-88.10904,-6,1
60188,Carol Stream,IL,41.918578,-88.13688,-6,1
60189,Wheaton,IL,41.839679,-88.088716,-6,1
60190,Winfield,IL,41.875228,-88.15261,-6,1
60191,Wood Dale,IL,41.962979,-87.97688,-6,1
60192,Schaumburg,IL,42.065827,-88.21399,-6,1
60193,Schaumburg,IL,42.01299,-88.09675,-6,1
60194,Schaumburg,IL,42.037108,-88.10719,-6,1
60195,Schaumburg,IL,42.067809,-88.10828,-6,1
60196,Schaumburg,IL,42.056376,-88.072522,-6,1
60197,Carol Stream,IL,41.839679,-88.088716,-6,1
60198,Carol Stream,IL,41.839679,-88.088716,-6,1
60199,Carol Stream,IL,41.839679,-88.088716,-6,1
60201,Evanston,IL,42.056391,-87.69684,-6,1
60202,Evanston,IL,42.030327,-87.68828,-6,1
60203,Evanston,IL,42.048879,-87.7175,-6,1
60204,Evanston,IL,41.811929,-87.68732,-6,1
60208,Evanston,IL,42.058629,-87.684506,-6,1
60209,Evanston,IL,42.04973,-87.679408,-6,1
60301,Oak Park,IL,41.887981,-87.79562,-6,1
60302,Oak Park,IL,41.893941,-87.78899,-6,1
60303,Oak Park,IL,41.811929,-87.68732,-6,1
60304,Oak Park,IL,41.87355,-87.7885,-6,1
60305,River Forest,IL,41.893031,-87.81718,-6,1
60330,River Forest,IL,41.882081,-87.821359,-6,1
60401,Beecher,IL,41.350484,-87.62408,-6,1
60402,Berwyn,IL,41.836981,-87.79095,-6,1
60406,Blue Island,IL,41.656592,-87.68154,-6,1
60407,Braceville,IL,41.230524,-88.25503,-6,1
60408,Braidwood,IL,41.262178,-88.22307,-6,1
60409,Calumet City,IL,41.614188,-87.54638,-6,1
60410,Channahon,IL,41.439518,-88.20898,-6,1
60411,Chicago Heights,IL,41.511307,-87.6101,-6,1
60412,Chicago Heights,IL,41.811929,-87.68732,-6,1
60415,Chicago Ridge,IL,41.702482,-87.77869,-6,1
60416,Coal City,IL,41.292011,-88.2783,-6,1
60417,Crete,IL,41.439034,-87.61173,-6,1
60419,Dolton,IL,41.626839,-87.59865,-6,1
60420,Dwight,IL,41.089453,-88.42783,-6,1
60421,Elwood,IL,41.429681,-88.10284,-6,1
60422,Flossmoor,IL,41.539384,-87.68424,-6,1
60423,Frankfort,IL,41.501178,-87.83875,-6,1
60424,Gardner,IL,41.174117,-88.30954,-6,1
60425,Glenwood,IL,41.544584,-87.61289,-6,1
60426,Harvey,IL,41.609078,-87.66264,-6,1
60429,Hazel Crest,IL,41.574034,-87.67857,-6,1
60430,Homewood,IL,41.556734,-87.66464,-6,1
60431,Joliet,IL,41.52493,-88.19022,-6,1
60432,Joliet,IL,41.533631,-88.05592,-6,1
60433,Joliet,IL,41.511644,-88.05698,-6,1
60434,Joliet,IL,41.52543,-88.084208,-6,1
60435,Joliet,IL,41.54338,-88.11963,-6,1
60436,Joliet,IL,41.50798,-88.10553,-6,1
60437,Kinsman,IL,41.168761,-88.55792,-6,1
60438,Lansing,IL,41.565685,-87.54819,-6,1
60439,Lemont,IL,41.676028,-87.98258,-6,1
60440,Bolingbrook,IL,41.703097,-88.07462,-6,1
60441,Lockport,IL,41.598235,-88.02753,-6,1
60442,Manhattan,IL,41.407474,-87.96883,-6,1
60443,Matteson,IL,41.503468,-87.73695,-6,1
60444,Mazon,IL,41.243419,-88.40325,-6,1
60445,Midlothian,IL,41.631683,-87.73309,-6,1
60446,Romeoville,IL,41.64273,-88.09934,-6,1
60447,Minooka,IL,41.473553,-88.29167,-6,1
60448,Mokena,IL,41.536782,-87.88582,-6,1
60449,Monee,IL,41.422555,-87.75531,-6,1
60450,Morris,IL,41.370642,-88.40749,-6,1
60451,New Lenox,IL,41.509231,-87.96475,-6,1
60452,Oak Forest,IL,41.605633,-87.75356,-6,1
60453,Oak Lawn,IL,41.715082,-87.7546,-6,1
60454,Oak Lawn,IL,41.811929,-87.68732,-6,1
60455,Bridgeview,IL,41.742432,-87.80678,-6,1
60456,Hometown,IL,41.730533,-87.73198,-6,1
60457,Hickory Hills,IL,41.723782,-87.82825,-6,1
60458,Justice,IL,41.746432,-87.83557,-6,1
60459,Burbank,IL,41.744082,-87.77022,-6,1
60460,Odell,IL,41.00148,-88.52981,-6,1
60461,Olympia Fields,IL,41.51829,-87.69274,-6,1
60462,Orland Park,IL,41.623532,-87.83542,-6,1
60463,Palos Heights,IL,41.663548,-87.79148,-6,1
60464,Palos Park,IL,41.664582,-87.84378,-6,1
60465,Palos Hills,IL,41.699432,-87.82977,-6,1
60466,Park Forest,IL,41.472934,-87.68767,-6,1
60467,Orland Park,IL,41.598255,-87.89201,-6,1
60468,Peotone,IL,41.331114,-87.79917,-6,1
60469,Posen,IL,41.628034,-87.68694,-6,1
60470,Ransom,IL,41.169068,-88.6494,-6,1
60471,Richton Park,IL,41.483844,-87.72134,-6,1
60472,Robbins,IL,41.642933,-87.70814,-6,1
60473,South Holland,IL,41.597472,-87.59909,-6,1
60474,South Wilmington,IL,41.173313,-88.27494,-6,1
60475,Steger,IL,41.470084,-87.63369,-6,1
60476,Thornton,IL,41.570384,-87.60839,-6,1
60477,Tinley Park,IL,41.5738,-87.80389,-6,1
60478,Country Club Hills,IL,41.561134,-87.72398,-6,1
60479,Verona,IL,41.231718,-88.52659,-6,1
60480,Willow Springs,IL,41.737616,-87.87778,-6,1
60481,Wilmington,IL,41.298186,-88.1464,-6,1
60482,Worth,IL,41.688827,-87.79265,-6,1
60490,Bolingbrook,IL,41.684752,-88.14203,-6,1
60499,Bedford Park,IL,41.811929,-87.68732,-6,1
60501,Summit Argo,IL,41.784832,-87.81,-6,1
60504,Aurora,IL,41.760067,-88.25218,-6,1
60505,Aurora,IL,41.756129,-88.29699,-6,1
60506,Aurora,IL,41.766029,-88.35254,-6,1
60507,Aurora,IL,41.936977,-88.420178,-6,1
60510,Batavia,IL,41.845228,-88.30995,-6,1
60511,Big Rock,IL,41.75537,-88.54865,-6,1
60512,Bristol,IL,41.706034,-88.41296,-6,1
60513,Brookfield,IL,41.822681,-87.84753,-6,1
60514,Clarendon Hills,IL,41.779533,-87.95798,-6,1
60515,Downers Grove,IL,41.80348,-88.01827,-6,1
60516,Downers Grove,IL,41.761463,-88.01334,-6,1
60517,Woodridge,IL,41.75253,-88.04864,-6,1
60518,Earlville,IL,41.599139,-88.91932,-6,1
60519,Eola,IL,41.778379,-88.24268,-6,1
60520,Hinckley,IL,41.776884,-88.64655,-6,1
60521,Hinsdale,IL,41.772915,-87.92996,-6,1
60522,Hinsdale,IL,41.839679,-88.088716,-6,1
60523,Oak Brook,IL,41.837716,-87.96041,-6,1
60525,La Grange,IL,41.788536,-87.87605,-6,1
60526,La Grange Park,IL,41.829831,-87.8704,-6,1
60527,Hinsdale,IL,41.839679,-88.088716,-6,1
60530,Lee,IL,41.792378,-88.9516,-6,1
60531,Leland,IL,41.620636,-88.78895,-6,1
60532,Lisle,IL,41.789079,-88.08536,-6,1
60534,Lyons,IL,41.812331,-87.82318,-6,1
60536,Millbrook,IL,41.598631,-88.55317,-6,1
60537,Millington,IL,41.56253,-88.59921,-6,1
60538,Montgomery,IL,41.721886,-88.32972,-6,1
60539,Mooseheart,IL,41.823478,-88.3332,-6,1
60540,Naperville,IL,41.764779,-88.14579,-6,1
60541,Newark,IL,41.529433,-88.53552,-6,1
60542,North Aurora,IL,41.809387,-88.32931,-6,1
60543,Oswego,IL,41.684896,-88.34177,-6,1
60544,Plainfield,IL,41.607624,-88.19736,-6,1
60545,Plano,IL,41.665654,-88.53697,-6,1
60546,Riverside,IL,41.836131,-87.82163,-6,1
60548,Sandwich,IL,41.645393,-88.63052,-6,1
60549,Serena,IL,41.490329,-88.74998,-6,1
60550,Shabbona,IL,41.769322,-88.86858,-6,1
60551,Sheridan,IL,41.527585,-88.68292,-6,1
60552,Somonauk,IL,41.645998,-88.69,-6,1
60553,Steward,IL,41.830628,-89.01704,-6,1
60554,Sugar Grove,IL,41.779939,-88.45183,-6,1
60555,Warrenville,IL,41.82552,-88.19452,-6,1
60556,Waterman,IL,41.768498,-88.77539,-6,1
60557,Wedron,IL,41.438531,-88.76933,-6,1
60558,Western Springs,IL,41.805531,-87.90103,-6,1
60559,Westmont,IL,41.795358,-87.97778,-6,1
60560,Yorkville,IL,41.631342,-88.43996,-6,1
60561,Darien,IL,41.745623,-87.98108,-6,1
60563,Naperville,IL,41.794885,-88.16188,-6,1
60564,Naperville,IL,41.707118,-88.19634,-6,1
60565,Naperville,IL,41.728738,-88.12824,-6,1
60566,Naperville,IL,41.839679,-88.088716,-6,1
60567,Naperville,IL,41.839679,-88.088716,-6,1
60568,Aurora,IL,41.935616,-88.43238,-6,1
60570,Hinsdale,IL,41.839679,-88.088716,-6,1
60572,Aurora,IL,41.839679,-88.088716,-6,1
60597,Fox Valley,IL,41.839679,-88.088716,-6,1
60598,Aurora,IL,41.839679,-88.088716,-6,1
60599,Fox Valley,IL,41.839679,-88.088716,-6,1
60601,Chicago,IL,41.886456,-87.62325,-6,1
60602,Chicago,IL,41.882937,-87.62874,-6,1
60603,Chicago,IL,41.880446,-87.63014,-6,1
60604,Chicago,IL,41.877589,-87.62818,-6,1
60605,Chicago,IL,41.860019,-87.6187,-6,1
60606,Chicago,IL,41.882582,-87.6376,-6,1
60607,Chicago,IL,41.875882,-87.65114,-6,1
60608,Chicago,IL,41.850532,-87.6699,-6,1
60609,Chicago,IL,41.814283,-87.65282,-6,1
60610,Chicago,IL,41.898582,-87.6371,-6,1
60611,Chicago,IL,41.904667,-87.62504,-6,1
60612,Chicago,IL,41.880682,-87.6877,-6,1
60613,Chicago,IL,41.953256,-87.6629,-6,1
60614,Chicago,IL,41.922682,-87.65432,-6,1
60615,Chicago,IL,41.801525,-87.60215,-6,1
60616,Chicago,IL,41.8474,-87.63126,-6,1
60617,Chicago,IL,41.719973,-87.5557,-6,1
60618,Chicago,IL,41.945681,-87.7048,-6,1
60619,Chicago,IL,41.744834,-87.60444,-6,1
60620,Chicago,IL,41.740483,-87.65282,-6,1
60621,Chicago,IL,41.776983,-87.6404,-6,1
60622,Chicago,IL,41.900332,-87.66927,-6,1
60623,Chicago,IL,41.850232,-87.718,-6,1
60624,Chicago,IL,41.879365,-87.72199,-6,1
60625,Chicago,IL,41.971614,-87.70256,-6,1
60626,Chicago,IL,42.009731,-87.66938,-6,1
60628,Chicago,IL,41.695434,-87.62255,-6,1
60629,Chicago,IL,41.777482,-87.71155,-6,1
60630,Chicago,IL,41.971044,-87.75869,-6,1
60631,Chicago,IL,41.99623,-87.81091,-6,1
60632,Chicago,IL,41.809299,-87.7105,-6,1
60633,Chicago,IL,41.655423,-87.55365,-6,1
60634,Chicago,IL,41.944454,-87.79654,-6,1
60636,Chicago,IL,41.776633,-87.66854,-6,1
60637,Chicago,IL,41.779384,-87.60544,-6,1
60638,Chicago,IL,41.787982,-87.7738,-6,1
60639,Chicago,IL,41.921431,-87.75415,-6,1
60640,Chicago,IL,41.973181,-87.6665,-6,1
60641,Chicago,IL,41.946431,-87.74576,-6,1
60643,Chicago,IL,41.696433,-87.65993,-6,1
60644,Chicago,IL,41.881331,-87.75671,-6,1
60645,Chicago,IL,42.008956,-87.69634,-6,1
60646,Chicago,IL,41.995331,-87.7601,-6,1
60647,Chicago,IL,41.921126,-87.70085,-6,1
60648,Peotone,IL,41.335445,-87.785286,-6,1
60649,Chicago,IL,41.761734,-87.57072,-6,1
60650,Chicago,IL,41.818682,-87.743454,-6,1
60651,Chicago,IL,41.901485,-87.74055,-6,1
60652,Chicago,IL,41.7446,-87.71188,-6,1
60653,Chicago,IL,41.819833,-87.61269,-6,1
60654,Chicago,IL,41.888627,-87.63538,-6,1
60655,Chicago,IL,41.696283,-87.69912,-6,1
60656,Chicago,IL,41.97508,-87.8163,-6,1
60657,Chicago,IL,41.940832,-87.65852,-6,1
60659,Chicago,IL,41.991381,-87.70378,-6,1
60660,Chicago,IL,41.990631,-87.6667,-6,1
60661,Chicago,IL,41.882082,-87.64461,-6,1
60663,Chicago,IL,41.811929,-87.68732,-6,1
60664,Chicago,IL,41.811929,-87.68732,-6,1
60665,Chicago,IL,41.811929,-87.68732,-6,1
60666,Amf Ohare,IL,41.968029,-87.891214,-6,1
60667,Chicago,IL,41.811929,-87.68732,-6,1
60668,Chicago,IL,41.811929,-87.68732,-6,1
60669,Chicago,IL,41.811929,-87.68732,-6,1
60670,Chicago,IL,41.811929,-87.68732,-6,1
60671,Chicago,IL,41.811929,-87.68732,-6,1
60672,Chicago,IL,41.811929,-87.68732,-6,1
60673,Chicago,IL,41.811929,-87.68732,-6,1
60674,Chicago,IL,41.811929,-87.68732,-6,1
60675,Chicago,IL,41.811929,-87.68732,-6,1
